ENGINE_COOLANT_TEMP,ENGINE_LOAD,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,Short Term Fuel Trim Bank 1,MAF,SPEED,THROTTLE_POS,TIMING_ADVANCE,entropy_joint,complexity_joint,fisher_joint
83.0,36.1,811.0,31.0,0.0,4.16,42.0,20.4,54.5,0.6763108262513928,0.38078421310765,0.6763108262513928
83.0,52.2,1456.0,40.0,3.1,10.94,45.0,29.4,68.2,0.6757300027296421,0.3807122852047365,0.6757300027296421
83.0,52.2,1504.0,50.0,2.3,12.66,47.0,30.2,68.6,0.674758792406144,0.38054464789153036,0.674758792406144
83.0,47.5,1592.0,36.0,-8.6,11.08,48.0,29.0,69.0,0.6742162882047061,0.3805316928008877,0.6742162882047061
82.0,40.0,1599.0,45.0,0.8,9.78,49.0,28.2,71.8,0.6760069309251082,0.3807575910004314,0.6760069309251082
82.0,58.4,1656.0,19.0,0.8,14.55,50.0,31.4,69.0,0.6734647304326757,0.3817374530416387,0.6734647304326757
82.0,42.7,877.0,34.0,-4.7,4.58,47.0,20.8,65.5,0.673799161308771,0.38173515991986456,0.673799161308771
82.0,41.2,783.0,29.0,-2.3,4.55,45.0,20.8,54.9,0.6736082093147023,0.38167243041758114,0.6736082093147023
82.0,40.8,784.0,32.0,-2.3,4.51,42.0,20.8,58.4,0.672669092996445,0.3814632618960486,0.672669092996445
83.0,37.6,818.0,32.0,-3.9,4.04,37.0,19.6,56.5,0.6671652042464987,0.38423206757526307,0.6671652042464987
83.0,36.5,811.0,33.0,-4.7,4.06,19.0,20.4,54.9,0.6646015411685655,0.384017341981685,0.6646015411685655
83.0,36.5,821.0,35.0,0.8,4.11,8.0,20.4,54.9,0.6626376306702529,0.38403667327649127,0.6626376306702529
83.0,36.5,820.0,32.0,0.8,4.09,1.0,20.4,54.5,0.661028235026402,0.3852716649038032,0.661028235026402
83.0,37.3,809.0,33.0,2.3,4.02,0.0,20.4,56.1,0.6636421162437275,0.38384365647846674,0.6636421162437275
83.0,52.9,1302.0,33.0,-0.8,10.92,2.0,29.8,62.7,0.6637109933792251,0.3843428218764593,0.6637109933792251
82.0,40.8,786.0,46.0,3.9,4.52,2.0,20.8,55.7,0.6675045782412061,0.38377454456112836,0.6675045782412061
82.0,63.9,928.0,20.0,-3.1,9.01,13.0,28.2,53.3,0.6682941660751677,0.38228897644271004,0.6682941660751677
