ENGINE_LOAD,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,Short Term Fuel Trim Bank 1,MAF,SPEED,THROTTLE_POS,mv_entropy,mv_complexity,mv_fisher,mv_shannon
35.7,2300.0,65.0,4.7,6.54,24.0,23.9,0.8346125079824666,0.2090075908430328,0.8346125079824666,0.1322269692225777
72.9,2296.0,24.0,-6.2,25.72,35.0,35.3,0.8422652901573975,0.1976826194422603,0.8422652901573975,0.1392375251878148
71.8,1775.0,68.0,3.1,17.89,40.0,32.5,0.8504603081091099,0.1915559553343951,0.8504603081091099,0.1304475435118471
67.5,2017.0,59.0,-0.8,19.13,43.0,32.9,0.8504603081091099,0.1915559553343951,0.8504603081091099,0.1304475435118471
59.6,2219.0,19.0,-3.1,17.55,41.0,32.2,0.835536868104022,0.2086611475957765,0.835536868104022,0.1321059318467923
17.6,1752.0,22.0,0.0,4.55,27.0,22.0,0.8331293392472057,0.2094237164080861,0.8331293392472057,0.1384003797756872
48.6,1394.0,23.0,6.2,9.87,31.0,29.0,0.8360178340575231,0.206606486776092,0.8360178340575231,0.1412108258953752
18.0,1497.0,20.0,15.6,3.9,30.0,21.6,0.8669122454932937,0.1703006753342489,0.8669122454932937,0.1364289444934484
38.8,1459.0,41.0,8.6,8.07,32.0,27.1,0.8683070720940889,0.1693780017747163,0.8683070720940889,0.134519308065317
47.5,1670.0,53.0,-4.7,11.52,40.0,29.8,0.8655069194182371,0.1728747467916484,0.8655069194182371,0.1407094930506669
65.1,2086.0,19.0,0.0,20.37,46.0,33.3,0.8516950232778975,0.1901722875065735,0.8516950232778975,0.1385618177020272
20.0,980.0,23.0,-0.8,2.95,28.0,18.4,0.8621479581286801,0.1749250220187285,0.8621479581286801,0.1408187372120093
29.0,798.0,38.0,-3.9,3.38,16.0,19.6,0.8621479581286801,0.1749250220187285,0.8621479581286801,0.1408187372120093
41.6,782.0,32.0,-2.3,4.48,10.0,20.8,0.8640237506829763,0.1733952532115478,0.8640237506829763,0.1403747283468894
47.8,741.0,42.0,-3.9,4.86,16.0,22.4,0.8716765328579071,0.1612272428095204,0.8716765328579071,0.1476416329499262
42.7,1541.0,28.0,3.1,9.68,24.0,28.2,0.8716765328579071,0.1612272428095207,0.8716765328579071,0.1473614526029382
21.6,1893.0,34.0,8.6,4.86,27.0,22.0,0.8731597015931679,0.1606761851166137,0.8731597015931679,0.1393564281174304
67.8,1403.0,47.0,-6.2,15.02,34.0,31.8,0.8731597015931679,0.1606761851166134,0.8731597015931679,0.1321997920933361
50.2,1747.0,51.0,-3.1,12.74,38.0,30.2,0.8712839090388718,0.1622574163793585,0.8712839090388718,0.1247361842621841
80.4,2018.0,20.0,0.0,24.02,46.0,34.9,0.8698890824380766,0.1631965214010538,0.8698890824380766,0.1264141429427805
38.4,2281.0,44.0,0.0,14.26,47.0,31.0,0.8637299684726679,0.1688018768118109,0.8637299684726679,0.1296330449809689
53.3,2365.0,19.0,-3.1,18.61,48.0,32.5,0.8698890824380766,0.1631965214010538,0.8698890824380766,0.1212158852165573
16.5,1185.0,36.0,-2.3,3.7,46.0,18.4,0.878084100389789,0.1564224193662904,0.878084100389789,0.1063015422243388
47.1,1258.0,19.0,3.9,8.32,44.0,27.1,0.8911317478405809,0.138888710434039,0.8911317478405809,0.1097080425497026
36.5,1199.0,21.0,4.7,6.44,40.0,23.1,0.9035488173801252,0.1207918494746671,0.9035488173801252,0.1015659089507946
18.8,1020.0,66.0,0.0,2.92,38.0,18.8,0.893007540394877,0.1372066251299473,0.893007540394877,0.1010651557712364
29.4,1169.0,88.0,8.6,2.41,41.0,20.4,0.9120646898533312,0.1203698929324132,0.9120646898533312,0.066353022432047
100.0,1470.0,52.0,5.5,22.01,50.0,35.7,0.8833293537079038,0.1545697011812175,0.8833293537079038,0.0829108297926287
73.7,1700.0,23.0,-3.1,18.79,53.0,32.9,0.8833293537079038,0.1545697011812175,0.8833293537079038,0.0825112784777455
18.0,1719.0,47.0,3.1,4.54,51.0,22.4,0.8727880767226555,0.1701455584673047,0.8727880767226555,0.0795012280346962
51.8,1706.0,19.0,0.0,10.73,48.0,29.4,0.8727880767226555,0.1701455584673053,0.8727880767226555,0.0855648685108321
43.5,1495.0,19.0,6.2,9.33,45.0,27.8,0.878947190688064,0.1644662904682571,0.878947190688064,0.0793141462345758
19.6,1004.0,30.0,-6.2,2.81,21.0,18.0,0.877071398133768,0.1660545021175986,0.877071398133768,0.087957033013042
37.6,764.0,32.0,3.9,3.85,5.0,20.0,0.8781829419985161,0.1654338726116714,0.8781829419985161,0.0972178057323476
80.4,1016.0,26.0,-3.9,10.94,5.0,27.1,0.8854535998286732,0.1590346922721996,0.8854535998286732,0.0915214906570796
35.7,802.0,33.0,-1.6,4.01,0.0,20.0,0.8916127137940818,0.1531618243970521,0.8916127137940818,0.0737687794128176
36.1,783.0,33.0,-1.6,4.3,2.0,20.4,0.8977718277594905,0.1471925356413045,0.8977718277594905,0.0636766681106175
80.0,2328.0,59.0,1.6,28.04,33.0,35.3,0.8872305507742424,0.1631729510421515,0.8872305507742424,0.0493395621326592
65.9,2081.0,68.0,1.6,17.47,49.0,32.2,0.8847241803086989,0.1647685704878714,0.8847241803086989,0.0497629678283973
31.4,1615.0,31.0,-1.6,7.56,48.0,26.7,0.895265457293947,0.1488626845975499,0.895265457293947,0.0512789089175037
37.3,1613.0,44.0,3.1,9.02,49.0,27.5,0.8879947994637901,0.1554448739407713,0.8879947994637901,0.0582324543571748
70.6,1664.0,33.0,-5.5,16.56,52.0,32.2,0.8898705920180866,0.15380573030465,0.8898705920180866,0.0569728619058679
81.6,1782.0,67.0,3.1,21.34,58.0,34.1,0.887364221552543,0.1554352374652934,0.887364221552543,0.0586863003029993
78.0,1991.0,49.0,-10.9,18.91,61.0,32.2,0.8739344497569772,0.1580400813126346,0.8739344497569772,0.0819076879863253
38.4,2034.0,20.0,0.0,9.44,56.0,25.5,0.8750459936217255,0.1574129824559292,0.8750459936217255,0.0871206624117655
42.7,803.0,33.0,1.6,4.37,14.0,20.4,0.8721574988114081,0.16058984995304,0.8721574988114081,0.1062985283883632
32.5,800.0,29.0,4.7,3.86,3.0,20.0,0.8702817062571119,0.1621686543843595,0.8702817062571119,0.1133905614984482
39.2,807.0,79.0,3.1,4.19,13.0,20.4,0.8764408202225207,0.1564560091696134,0.8764408202225207,0.1071616090172106
29.0,2470.0,80.0,5.5,6.93,26.0,25.1,0.8789471906880642,0.1526076077238365,0.8789471906880642,0.120961516052928
91.0,2633.0,85.0,3.9,25.71,36.0,27.1,0.8705301598235853,0.1585783449632017,0.8705301598235853,0.1265741665773188
98.8,1867.0,78.0,-3.1,27.83,46.0,36.9,0.8803420172888592,0.1531934253207474,0.8803420172888592,0.1223262708063147
96.9,2403.0,33.0,3.1,33.98,49.0,37.3,0.8630110484269552,0.1727297856219732,0.8630110484269552,0.1207150625023176
42.0,1696.0,18.0,1.6,10.58,48.0,29.0,0.8630110484269552,0.1727297856219732,0.8630110484269552,0.1170524178101371
17.6,1550.0,20.0,3.1,4.1,31.0,22.0,0.8658995432372725,0.1696379528013039,0.8658995432372725,0.107219471629171
34.1,856.0,57.0,6.2,4.39,24.0,21.2,0.8658995432372725,0.1696379528013039,0.8658995432372725,0.1019243145244451
100.0,915.0,58.0,0.0,14.35,36.0,34.9,0.8672943698380675,0.1687159278449375,0.8672943698380675,0.0949383448376611
66.7,1299.0,46.0,-7.8,12.79,47.0,30.6,0.8590993518863551,0.1752535768678435,0.8590993518863551,0.1002932992021064
18.0,1560.0,20.0,0.0,3.29,42.0,21.2,0.8572235593320588,0.1767662425137162,0.8572235593320588,0.1024062889141209
27.1,797.0,62.0,-0.8,3.28,28.0,20.4,0.8607426320536236,0.1752683210708674,0.8607426320536236,0.1132850367075192
80.4,1500.0,50.0,0.0,17.95,36.0,32.9,0.8765904321802669,0.1564168734379193,0.8765904321802669,0.1103493755655641
32.9,1648.0,32.0,4.7,7.99,33.0,26.7,0.8765904321802669,0.15641687343792,0.8765904321802669,0.1030824709625273
